,Type_of_play_places
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Running and riding my bike ",1
In my house;In my garden;On a local grassy area;In the woods near my house;Somewhere with water or sand in it;On bike ,1
In my house;In my garden;In the street;In the woods near my house;On a football field near my house;In my school playground,1
In my garden;In the street;On a local grassy area;In my school playground;On the bike or skate park;Kidz r us ,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground;Somewhere with water or sand in it",1
In my house;In my garden;Somewhere with water or sand in it;Allotment,1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;the park",1
In my house;In my garden;Bike ride around the streets near my home,1
In my house;In my garden;Scooter,1
In my house;In my garden;On a football field near my house;Beach,1
"In my house;In my garden;In a place with bushes, trees and flowers;On the bike or skate park;we own a holiday park so we have our own fields/gardens and park to play in. we moved to our bigger site when it was closed down during lockdown as my mum is in the high risk and we cant be near anyone else",1
"In my garden;In a place with bushes, trees and flowers;On the bike or skate park",1
In my house;On lock down,1
In my house;On the bike or skate park;going for long walks and riding my bike when walking,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park",1
In my garden;In the street;On a local grassy area;In my school playground,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;Taff Trail ",1
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;Somewhere with water or sand in it,1
"In a place with bushes, trees and flowers",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In my school playground",1
In my house;On a local grassy area;Lake with fish,1
In my house;In my garden;On a local grassy area;In the woods near my house;River,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground;On the bike or skate park",1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it;On the bike or skate park",1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;there is a lock down on for covid 19 otherwise gethin could tick all",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground",1
In the street;In the woods near my house;On the bike or skate park,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;Riding my bike",1
In my house;On a local grassy area;On a football field near my house;Somewhere with water or sand in it,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;South Wales coast path",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park;up a mountain",1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park",1
In my garden;In the street;On a local grassy area;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park,1
In my garden;Somewhere with water or sand in it,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park;Beach",1
In my house;In my garden;On a football field near my house;On the beach,1
In my house;In my garden;On a local grassy area;In the woods near my house;In my school playground,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;On the bike or skate park",1
"In my house;In a place with bushes, trees and flowers;Nanna's house ",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;On the bike or skate park",1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it",1
In my house;In my garden;On a local grassy area;Somewhere with water or sand in it,1
In my garden;On a local grassy area;In my school playground;Practice to ride a bike,1
In my house;In my garden;On a local grassy area;On a football field near my house;Somewhere with water or sand in it,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park;Around the area",1
"In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house",1
In my house;In my garden;On a local grassy area;In my school playground;Practising to ride my bike.,1
In my house;In my garden;In a big barn on our property which has trampoline badminton and netball net,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground",1
"In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house",1
In my house;In my garden;On a local grassy area;Site,1
In my house;In my garden;In the woods near my house;In my school playground;Somewhere with water or sand in it,1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;My field ",1
"In my garden;In a place with bushes, trees and flowers;Horses stables",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;MUGA",1
"In my house;In my garden;In a place with bushes, trees and flowers;We have 13 acres of land I can play on.",1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;Bike ride in local area with family ,1
"In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it;On the bike or skate park",1
In my house;In my garden;In the woods near my house;In my school playground,1
"In my house;In my garden;In a place with bushes, trees and flowers;On a football field near my house;Somewhere with water or sand in it",1
In my house;In my garden;On a local grassy area;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In the woods near my house;Somewhere with water or sand in it,1
In my house;In my garden;Rugby field my uncle takes me,1
In my house;In my garden;I just attend lots of dance classes,1
In my house;In my garden;In my school playground;Park outside my house ,1
In my house;In my garden;In the street;Somewhere with water or sand in it,1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground",1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it",1
In my house;In my garden;In my school playground;On the bike or skate park;on my bike in the driveway,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park;Dance classes and swiming lessons",1
"In my house;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;on my street",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In my school playground; park",1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it",1
"In my garden;On a local grassy area;In a place with bushes, trees and flowers;On the bike or skate park",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it;On the bike or skate park",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;walking on the footpath/up the road to the footpath",1
"In my house;In my garden;In a place with bushes, trees and flowers;Country lanes ",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park;on the swing",1
In the woods near my house,1
In my house;In my garden;I am only allowed to play at home or when we walk the dogs with mum and dan,1
In my house;In my garden;I can run around when we walk the dogs with Mum,1
"In my house;In my garden;In a place with bushes, trees and flowers;Somewhere with water or sand in it;we have fields with sheep",1
In my house;In my garden;On the bike or skate park;Mum walks the dog and I go on my bike ,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In my school playground;On the bike or skate park",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it;Beach",1
In my house;In my garden;In the street;In the woods near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it",1
In my garden;In the street;On a local grassy area;On a football field near my house;Beach and woods,1
In my house;In my garden;In the street;On a local grassy area;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;In the street;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park,1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park",1
In the street;On a local grassy area;In the woods near my house;In my school playground;On the bike or skate park,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;Up my mum and dads office ",1
In my garden;On a local grassy area;On a football field near my house;In my school playground,1
In my house;In my garden;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park,1
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;In my school playground;Somewhere with water or sand in it,1
In my garden;On a football field near my house;In my school playground,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground;my grandads house",1
In my house;In the street;Somewhere with water or sand in it;Courtyard,1
"In my house;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Near by stream",1
In my house;In my garden;In the street;In the woods near my house;Somewhere with water or sand in it,1
In my house;In my garden;In the street;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;On a local grassy area;In the woods near my house;Somewhere with water or sand in it;the beach,1
In my house;In my garden;On a local grassy area;Lockdown so exercise/walk ,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground;Somewhere with water or sand in it",1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park",1
In my house;In my backyard not garden,1
In my garden;On a local grassy area;On the bike or skate park,1
In my house;Somewhere with water or sand in it,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it;with my cat /playng headbutt wars",1
In my house;In my garden;In the street;hot tub,1
In my house;In my garden;On a local grassy area;On a football field near my house;In my school playground;On the bike or skate park,1
"In my garden;In a place with bushes, trees and flowers;On a football field near my house",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it;Beach",1
In my house;In the street;On a local grassy area;In my school playground;Somewhere with water or sand in it,1
In my house;In the woods near my house,1
In my house;In my garden;In my school playground;River,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;Somewhere with water or sand in it",1
